Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  4.558220E-03,  1.092556E-01, -1.172028E+01,-1.000,  280
  0.000000,  0.000000,  4.566469E-03,  1.093651E-01, -1.172379E+01,-1.000,  280
  0.000000,  0.000000,  7.277441E-03,  8.725660E-02, -5.856444E+00, 1.000,  189
  0.000000,  0.000000,  7.281738E-03,  8.736860E-02, -5.855348E+00, 1.000,  210
  0.000000,  0.000000,  1.052118E-01,  2.065702E-01,  5.630780E+01, 1.000,    6
  0.000000,  0.000000,  1.052935E-01,  2.073939E-01,  5.615126E+01, 1.000,    3
  0.000000,  0.000000,  1.714502E-01,  3.053016E-01, -5.188403E+01, 1.000,  210
  0.000000,  0.000000,  4.848250E-01,  4.326180E-01,  5.116048E+00, 1.000,  210
  0.000000,  0.000000,  4.848283E-01,  4.327970E-01,  5.108535E+00, 1.000,  210
  0.000000,  0.000000,  4.896309E-01,  4.405237E-01, -8.700441E+00, 1.000,  210
  0.000000,  0.000000,  4.896345E-01,  4.401598E-01, -8.675726E+00, 1.000,  210
  0.000000,  0.000000,  4.896809E-01,  4.402751E-01, -8.602001E+00, 1.000,  210
  0.000000,  0.000000,  4.896818E-01,  4.406120E-01, -8.629202E+00, 1.000,  210
  0.000000,  2.045455,  4.485742E-03,  1.042323E-01, -1.119137E+01,-1.000,  280
  0.000000,  2.045455,  4.490658E-03,  1.046001E-01, -1.126507E+01,-1.000,  280
  0.000000,  2.045455,  7.402172E-03,  9.094629E-02, -6.113514E+00, 1.000,  259
  0.000000,  2.045455,  7.426927E-03,  9.023563E-02, -6.042063E+00, 1.000,  245
  0.000000,  2.045455,  9.625479E-02,  2.021929E-01,  6.074178E+01, 1.000,    7
  0.000000,  2.045455,  9.629558E-02,  2.019598E-01,  5.927557E+01, 1.000,    7
  0.000000,  2.045455,  1.714437E-01,  3.049246E-01, -5.181447E+01, 1.000,  210
  0.000000,  2.045455,  4.852941E-01,  4.322835E-01,  5.005126E+00, 1.000,  249
  0.000000,  2.045455,  4.853016E-01,  4.323456E-01,  4.994501E+00, 1.000,  214
  0.000000,  2.045455,  4.896865E-01,  4.425124E-01, -8.362515E+00, 1.000,  245
  0.000000,  2.045455,  4.896879E-01,  4.425173E-01, -8.400205E+00, 1.000,  210
  0.000000,  2.045455,  4.905237E-01,  4.417961E-01, -9.093093E+00, 1.000,  210
  0.000000,  2.045455,  4.905280E-01,  4.416910E-01, -9.138117E+00, 1.000,  245
  0.000000,  4.090909,  4.482874E-03,  1.035559E-01, -1.113037E+01,-1.000,  266
  0.000000,  4.090909,  4.487490E-03,  1.046256E-01, -1.107832E+01,-1.000,  273
  0.000000,  4.090909,  7.423716E-03,  9.247476E-02, -5.802153E+00, 1.000,  266
  0.000000,  4.090909,  7.487181E-03,  8.784144E-02, -6.032247E+00, 1.000,  273
  0.000000,  4.090909,  8.758411E-02,  2.008929E-01,  5.745021E+01, 1.000,    1
  0.000000,  4.090909,  1.714697E-01,  3.046334E-01, -5.171064E+01, 1.000,  231
  0.000000,  4.090909,  4.864694E-01,  4.322371E-01,  4.852495E+00, 1.000,  252
  0.000000,  4.090909,  4.864707E-01,  4.321853E-01,  4.871543E+00, 1.000,  214
  0.000000,  4.090909,  4.906008E-01,  4.446721E-01, -8.402450E+00, 1.000,  245
  0.000000,  4.090909,  4.906069E-01,  4.443052E-01, -8.133442E+00, 1.000,  210
  0.000000,  4.090909,  4.921799E-01,  4.432419E-01, -9.467533E+00, 1.000,  219
  0.000000,  4.090909,  4.921863E-01,  4.430325E-01, -9.872057E+00, 1.000,  245
  0.000000,  6.136364,  4.500952E-03,  1.040483E-01, -1.137759E+01,-1.000,  273
  0.000000,  6.136364,  4.507001E-03,  1.046091E-01, -1.131048E+01,-1.000,  273
  0.000000,  6.136364,  7.290489E-03,  9.918758E-02, -5.615701E+00, 1.000,  133
  0.000000,  6.136364,  7.529181E-03,  8.934614E-02, -6.791729E+00, 1.000,  266
  0.000000,  6.136364,  7.707048E-03,  8.211656E-02, -6.570361E+00, 1.000,  140
  0.000000,  6.136364,  1.311646E-01,  3.032339E-01, -1.151675E+02, 1.000,    8
  0.000000,  6.136364,  1.314242E-01,  3.123223E-01, -1.649194E+02, 1.000,   12
  0.000000,  6.136364,  1.714432E-01,  3.040080E-01, -5.148434E+01, 1.000,  231
  0.000000,  6.136364,  4.883951E-01,  4.323277E-01,  4.917026E+00, 1.000,  245
  0.000000,  6.136364,  4.884039E-01,  4.323567E-01,  4.883499E+00, 1.000,  224
  0.000000,  6.136364,  4.925368E-01,  4.492656E-01, -9.247066E+00, 1.000,  252
  0.000000,  6.136364,  4.925435E-01,  4.486457E-01, -8.951755E+00, 1.000,  217
  0.000000,  6.136364,  4.945815E-01,  4.452470E-01, -1.008483E+01, 1.000,  217
  0.000000,  6.136364,  4.945828E-01,  4.451104E-01, -1.038575E+01, 1.000,  245
  0.000000,  8.181818,  4.525761E-03,  1.050633E-01, -1.154060E+01,-1.000,  280
  0.000000,  8.181818,  4.531790E-03,  1.051596E-01, -1.157637E+01,-1.000,  266
  0.000000,  8.181818,  7.539017E-03,  8.799740E-02, -7.006160E+00, 1.000,  262
  0.000000,  8.181818,  7.559200E-03,  8.742161E-02, -6.996647E+00, 1.000,  255
  0.000000,  8.181818,  1.406500E-01,  2.772794E-01,  4.959642E+01, 1.000,   56
  0.000000,  8.181818,  1.406504E-01,  2.738096E-01,  5.653503E+01, 1.000,   56
  0.000000,  8.181818,  1.448902E-01,  3.180875E-01, -3.654869E+02, 1.000,   49
  0.000000,  8.181818,  1.450101E-01,  3.189276E-01, -3.662793E+02, 1.000,   49
  0.000000,  8.181818,  1.523124E-01,  4.147305E-01, -4.087903E+02, 1.000,    7
  0.000000,  8.181818,  1.713575E-01,  3.033465E-01, -5.119538E+01, 1.000,  252
  0.000000,  8.181818,  4.911535E-01,  4.334111E-01,  5.288556E+00, 1.000,  252
  0.000000,  8.181818,  4.911578E-01,  4.334594E-01,  5.295919E+00, 1.000,  217
  0.000000,  8.181818,  4.955744E-01,  4.547050E-01, -9.603588E+00, 1.000,  224
  0.000000,  8.181818,  4.955781E-01,  4.548212E-01, -9.630464E+00, 1.000,  245
