Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
 90.000000, 90.000000,  7.385846E-03,  1.199977E-01,  7.036784E+01, 1.000,   27
 90.000000, 90.000000,  7.387172E-03,  1.201040E-01,  7.038419E+01, 1.000,   27
 90.000000, 90.000000,  7.658344E-03,  1.223996E-01,  6.573650E+01, 1.000,   54
 90.000000, 90.000000,  7.659382E-03,  1.224692E-01,  6.573452E+01, 1.000,   54
 90.000000, 90.000000,  7.967340E-03,  1.251262E-01,  5.868542E+01, 1.000,   27
 90.000000, 90.000000,  7.987702E-03,  1.258212E-01,  5.900038E+01, 1.000,   27
 90.000000, 90.000000,  8.366772E-03,  1.285948E-01,  4.716213E+01, 1.000,   24
 90.000000, 90.000000,  8.406965E-03,  1.298701E-01,  4.745530E+01, 1.000,   24
 90.000000, 90.000000,  8.785222E-03,  1.328684E-01,  3.575207E+01, 1.000,   39
 90.000000, 90.000000,  8.788763E-03,  1.329982E-01,  3.575666E+01, 1.000,   39
 90.000000, 90.000000,  9.174439E-03,  1.356318E-01,  2.301446E+01, 1.000,   15
 90.000000, 90.000000,  9.254320E-03,  1.373479E-01,  2.314757E+01, 1.000,   15
 90.000000, 90.000000,  1.054650E-02,  1.464249E-01, -2.121728E+01, 1.000,    3
 90.000000, 90.000000,  1.070684E-02,  1.500893E-01, -2.234212E+01, 1.000,    3
 90.000000, 90.000000,  1.216030E-02,  1.640523E-01, -8.073195E+01, 1.000,    3
 90.000000, 90.000000,  1.216270E-02,  1.642043E-01, -8.053213E+01, 1.000,    3
 90.000000, 90.000000,  1.238075E-02,  1.692023E-01, -9.074949E+01, 1.000,   15
 90.000000, 90.000000,  1.242173E-02,  1.658579E-01, -8.331489E+01, 1.000,    3
 90.000000, 90.000000,  1.259373E-02,  1.693935E-01, -9.185884E+01, 1.000,    6
 90.000000, 90.000000,  2.178801E-01,  3.990315E-01, -1.060700E+02, 1.000,  210
 90.000000, 87.954545,  7.704251E-03,  1.243753E-01,  6.447241E+01, 1.000,   72
 90.000000, 87.954545,  7.705859E-03,  1.241680E-01,  6.468597E+01, 1.000,   75
 90.000000, 87.954545,  8.298048E-03,  1.289374E-01,  4.975876E+01, 1.000,   63
 90.000000, 87.954545,  8.317662E-03,  1.290682E-01,  4.897094E+01, 1.000,   60
 90.000000, 87.954545,  9.013176E-03,  1.352639E-01,  2.811621E+01, 1.000,   51
 90.000000, 87.954545,  9.070485E-03,  1.358170E-01,  2.658238E+01, 1.000,   60
 90.000000, 87.954545,  9.405534E-03,  1.370350E-01,  2.204736E+01, 1.000,    3
 90.000000, 87.954545,  1.043763E-02,  1.484656E-01, -2.110532E+01, 1.000,   12
