Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  8.908588E-03,  9.767337E-02, -6.166806E+00, 1.000,  189
  0.000000,  0.000000,  8.909342E-03,  9.627955E-02, -6.049885E+00, 1.000,  210
  0.000000,  0.000000,  1.093101E-01,  2.073953E-01,  5.602019E+01, 1.000,    6
  0.000000,  0.000000,  1.093285E-01,  2.080204E-01,  5.606666E+01, 1.000,    6
  0.000000,  0.000000,  1.093807E-01,  2.077489E-01,  5.554244E+01, 1.000,    6
  0.000000,  0.000000,  1.093973E-01,  2.084932E-01,  5.563803E+01, 1.000,    6
  0.000000,  0.000000,  1.767427E-01,  3.092504E-01, -5.200418E+01, 1.000,  210
  0.000000,  0.000000,  4.923107E-01,  4.370316E-01,  5.166215E+00, 1.000,  210
  0.000000,  0.000000,  4.923188E-01,  4.369255E-01,  5.168968E+00, 1.000,  210
  0.000000,  0.000000,  4.972276E-01,  4.425878E-01, -8.894924E+00, 1.000,  210
  0.000000,  0.000000,  4.972279E-01,  4.425462E-01, -8.885635E+00, 1.000,  210
  0.000000,  0.000000,  4.972801E-01,  4.431364E-01, -8.799784E+00, 1.000,  210
  0.000000,  0.000000,  4.972828E-01,  4.430534E-01, -8.811151E+00, 1.000,  210
  0.000000,  2.045455,  9.011310E-03,  9.363635E-02, -5.819881E+00, 1.000,  259
  0.000000,  2.045455,  9.018182E-03,  9.239480E-02, -5.731585E+00, 1.000,  245
  0.000000,  2.045455,  1.004382E-01,  2.048678E-01,  6.182655E+01, 1.000,   20
  0.000000,  2.045455,  1.005211E-01,  2.048011E-01,  5.864502E+01, 1.000,    9
  0.000000,  2.045455,  1.767322E-01,  3.091418E-01, -5.198927E+01, 1.000,  210
  0.000000,  2.045455,  4.927691E-01,  4.361318E-01,  5.086808E+00, 1.000,  245
  0.000000,  2.045455,  4.927779E-01,  4.361681E-01,  5.083060E+00, 1.000,  210
  0.000000,  2.045455,  4.973193E-01,  4.448551E-01, -8.476708E+00, 1.000,  245
  0.000000,  2.045455,  4.973211E-01,  4.449814E-01, -8.487613E+00, 1.000,  210
  0.000000,  2.045455,  4.981462E-01,  4.443245E-01, -9.219633E+00, 1.000,  210
  0.000000,  2.045455,  4.981486E-01,  4.442712E-01, -9.262863E+00, 1.000,  245
  0.000000,  4.090909,  9.047077E-03,  9.330133E-02, -5.695712E+00, 1.000,  266
  0.000000,  4.090909,  9.049177E-03,  9.135080E-02, -5.923158E+00, 1.000,  273
  0.000000,  4.090909,  9.167947E-02,  2.064752E-01,  6.272100E+01, 1.000,   48
  0.000000,  4.090909,  9.183404E-02,  2.048211E-01,  5.873385E+01, 1.000,   30
  0.000000,  4.090909,  1.767523E-01,  3.088074E-01, -5.187144E+01, 1.000,  231
  0.000000,  4.090909,  4.939396E-01,  4.356506E-01,  4.947910E+00, 1.000,  252
  0.000000,  4.090909,  4.939428E-01,  4.359164E-01,  4.993785E+00, 1.000,  210
