Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
 90.000000, 90.000000,  9.625536E-03,  1.381999E-01,  8.212216E+01, 1.000,    6
 90.000000, 90.000000,  9.631013E-03,  1.382912E-01,  8.181193E+01, 1.000,    6
 90.000000, 90.000000,  9.943393E-03,  1.405065E-01,  7.654845E+01, 1.000,    9
 90.000000, 90.000000,  9.946854E-03,  1.406585E-01,  7.665024E+01, 1.000,    9
 90.000000, 90.000000,  2.248392E-01,  4.049462E-01, -1.068340E+02, 1.000,  210
 90.000000, 90.000000,  1.894227E+00,  7.512599E-01,  4.072782E+02,-1.000,   15
 90.000000, 90.000000,  5.927829E+00,  1.807645E+00, -1.044899E+03, 1.000,   15
 90.000000, 87.954545,  1.010076E-02,  1.430386E-01,  7.163989E+01, 1.000,    9
 90.000000, 87.954545,  1.014775E-02,  1.432266E-01,  7.051560E+01, 1.000,    3
 90.000000, 87.954545,  1.053451E-02,  1.460088E-01,  6.073876E+01, 1.000,    3
 90.000000, 87.954545,  1.059090E-02,  1.464230E-01,  5.919098E+01, 1.000,    9
 90.000000, 87.954545,  2.247344E-01,  4.049316E-01, -1.068842E+02, 1.000,  198
 90.000000, 87.954545,  3.980238E+00,  2.629614E+00, -1.251451E+03, 1.000,  138
 90.000000, 87.954545,  5.895590E+00,  1.896537E+00, -3.073416E+04, 1.000,   30
 90.000000, 85.909091,  1.058934E-02,  1.512849E-01,  5.742338E+01, 1.000,    6
 90.000000, 85.909091,  1.075065E-02,  1.518532E-01,  5.327489E+01, 1.000,    3
 90.000000, 85.909091,  1.082336E-02,  1.523496E-01,  5.123296E+01, 1.000,    3
 90.000000, 85.909091,  1.172263E-02,  1.570159E-01,  2.353701E+01, 1.000,    3
 90.000000, 85.909091,  1.180575E-02,  1.576260E-01,  2.094325E+01, 1.000,    3
 90.000000, 85.909091,  1.201536E-02,  1.614858E-01,  1.446731E+01, 1.000,    6
 90.000000, 85.909091,  2.246252E-01,  4.044659E-01, -1.069017E+02, 1.000,  195
